Graph,Score
small1,155572.41592657613
small2,136521.01581064696
small3,384517.3688118974
small4,124421.49323151434
small5,29978.186331799625
small6,3865.2571864348956
small7,257520.01581064696
small8,97750.90918776828
small9,155866.01581064696
small10,108655.90918776828
small11,1219.2493960703473
small12,739.905609893065
small13,338817.3688118974
small14,11943.750755955494
small15,2010.797760513179
small16,402517.3688118974
small17,1976.0207180049056
small18,14258.055979582477
small19,259146.01581064696
small20,52820.11558162371
small21,1241.13470489164
small22,8019.96354384873
small23,3313.8538391474267
small24,157642.41592657613
small25,16847.608175101963
small26,122063.49323151434
small27,155356.41592657613
small28,125223.49323151434
small29,154888.14243574018
small30,142708.01581064696
small31,3313.8538391474267
small32,92471.14243574018
small33,402517.3688118974
small34,163973.01581064696
small35,58486.61668325922
small36,368917.3688118974
small37,32468.61668325922
small38,121795.49323151434
small39,1219.2493960703473
small40,94897.29863605737
small41,224346.01581064696
small42,116780.14243574018
small43,402517.3688118974
small44,129606.49323151434
small45,224346.01581064696
small46,402192.3688118974
small47,23842.31591025766
small48,127037.90918776828
small49,126531.14243574018
small50,121671.14243574018
small51,2111.143215233529
small52,87665.56039956256
small53,114471.14243574018
small54,48026.37111022451
small55,78473.27302561837
small56,1220.940494621729
small57,6807.96354384873
small58,3313.8538391474267
small59,402517.3688118974
small60,402517.3688118974
small61,67320.47957764869
small62,126450.49323151434
small63,3726.547818366504
small64,11535.414050058094
small65,19870.99945932661
small66,200346.01581064696
small67,191068.01581064696
small68,20551.992492811816
small69,739.905609893065
small70,3313.8538391474267
small71,267238.01581064693
small72,6202.36969444755
small73,32010.870601390787
small74,133784.41592657613
small75,402517.3688118974
small76,123418.49323151434
small77,10979.55236316036
small78,224346.01581064696
small79,29984.360926556612
small80,70643.49323151434
small81,60615.64785724149
small82,154422.01581064696
small83,3313.8538391474267
small84,3313.8538391474267
small85,5600.954320584232
small86,2174.5685358765263
small87,5681.057014727672
small88,29228.46445079197
small89,88769.27302561837
small90,402517.3688118974
small91,3074.5685358765263
small92,267191.01581064693
small93,71777.3711102245
small94,24471.14243574018
small95,77491.48951581027
small96,272.8281828459045
small97,13003.647857241496
small98,4271.27996767828
small99,3313.8538391474267
small100,402517.3688118974
small101,127552.90918776828
small102,126831.49323151434
small103,1219.2493960703473
small104,769.905609893065
small105,327528.8972342386
small106,3351.283972521378
small107,45665.31063892267
small108,79375.68109196615
small109,303276.01581064693
small110,402517.3688118974
small111,157669.01581064696
small112,90387.49323151434
small113,3426.2003861040653
small114,385535.3688118974
small115,19980.481780304686
small116,1322.1333767973658
small117,14454.199546624282
small118,156408.01581064696
small119,402517.3688118974
small120,402517.3688118974
small121,2089.205439535128
small122,68842.31591025766
small123,741.5967084444467
small124,152081.41592657613
small125,59774.31591025766
small126,3313.8538391474267
small127,46268.760557028756
small128,153353.01581064696
small129,98496.14243574018
small130,132137.71250700523
small131,25929.098306850727
small132,152108.01581064696
small133,3344.1582377750797
small134,127677.01581064695
small135,133228.7374633301
small136,4595.653924857668
small137,84460.48951581027
small138,45967.87060139079
small139,45607.55792167091
small140,1219.2493960703473
small141,3394.8538391474267
small142,35349.09830685073
small143,3461.204486944198
small144,249734.01581064696
small145,3440.204486944198
small146,24942.007008809043
small147,66291.49323151434
small148,36481.94754984041
small149,23425.658154299228
small150,81803.49323151434
small151,146029.7311602446
small152,2959.7977605131787
small153,402517.3688118974
small154,23842.31591025766
small155,10187.303969737704
small156,345754.3688118974
small157,97225.6943210306
small158,24471.14243574018
small159,36276.30885954619
small160,22850.46445079197
small161,1151.1546722274377
small162,1219.2493960703473
small163,124859.14243574018
small164,16953.870601390787
small165,88521.90918776828
small166,69547.41295349335
small167,12288.992492811818
small168,123426.90918776828
small169,126020.49323151434
small170,49568.288061420615
small171,168392.47162932486
small172,5835.77120700287
small173,2010.797760513179
small174,92098.49323151434
small175,78567.90918776828
small176,3313.8538391474267
small177,3313.8538391474267
small178,3313.8538391474267
small179,359317.3688118974
small180,2010.797760513179
small181,274.5192813972861
small182,156361.01581064696
small183,739.905609893065
small184,162584.01581064696
small185,3262.5685358765263
small186,3521.8538391474267
small187,134140.49323151432
small188,389257.3688118974
small189,9040.870203281267
small190,202554.97388281234
small191,272.8281828459045
small192,19342.31591025766
small193,4537.036689357401
small194,7196.259650085521
small195,30911.253388552206
small196,123923.01581064695
small197,79702.90918776828
small198,402517.3688118974
small199,123626.90918776828
small200,124788.49323151434
small201,90636.49323151434
small202,267612.01581064693
small203,402517.3688118974
small204,153564.01581064696
small205,122870.49323151434
small206,272.8281828459045
small207,2010.797760513179
small208,12472.608175101966
small209,452.70548433642944
small210,3379.4224992500313
small211,32807.64785724149
small212,267419.01581064693
small213,155186.01581064696
small214,10577.608175101966
small215,2010.797760513179
small216,32842.31591025766
small217,14842.31591025766
small218,272.8281828459045
small219,160070.01581064696
small220,32833.55792167091
small221,130643.49323151434
small222,402517.3688118974
small223,306263.01581064693
small224,42673.27211394611
small225,3313.8538391474267
small226,3313.8538391474267
small227,139340.01581064696
small228,3324.1250638456736
small229,3313.8538391474267
small230,59063.64785724149
small231,41023.326757524774
small232,3413.8538391474267
small233,3423.1250638456736
small234,14842.31591025766
small235,29463.647857241493
small236,3447.8538391474267
small237,110162.48951581027
small238,3313.8538391474267
